name,type,start_time,duration,"mosi","miso"
"SPI","enable",2025-02-05T00:12:28.909808733+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.913899900+00:00,0.000015083,0x00,0x00
"SPI","result",2025-02-05T00:12:28.913915900+00:00,0.000015083,0x00,0x00
"SPI","result",2025-02-05T00:12:28.913931900+00:00,0.000015083,0x00,0x00
"SPI","result",2025-02-05T00:12:28.913947900+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-02-05T00:12:28.951056983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.951491233+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.951897150+00:00,0.000015083,0x10,0x00
"SPI","result",2025-02-05T00:12:28.952068067+00:00,0.000015083,0x00,0x24
"SPI","disable",2025-02-05T00:12:28.952219400+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.952667650+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.952902733+00:00,0.000015083,0x01,0x00
"SPI","result",2025-02-05T00:12:28.953034067+00:00,0.000015083,0x00,0x04
"SPI","disable",2025-02-05T00:12:28.953191483+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.953428900+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.953640233+00:00,0.000015083,0x81,0x00
"SPI","result",2025-02-05T00:12:28.953761150+00:00,0.000015083,0x04,0x04
"SPI","disable",2025-02-05T00:12:28.953854817+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.954025650+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.954212733+00:00,0.000015083,0x27,0x00
"SPI","result",2025-02-05T00:12:28.954322400+00:00,0.000015083,0x00,0x80
"SPI","disable",2025-02-05T00:12:28.954452400+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.954699733+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.954902900+00:00,0.000015083,0xBC,0x00
"SPI","result",2025-02-05T00:12:28.955018400+00:00,0.000015083,0x8F,0x0F
"SPI","disable",2025-02-05T00:12:28.955112817+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.955292233+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.955458400+00:00,0.000015083,0xEF,0x00
"SPI","result",2025-02-05T00:12:28.955572650+00:00,0.000015083,0x30,0x00
"SPI","disable",2025-02-05T00:12:28.955661567+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.955832650+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.955997233+00:00,0.000015083,0xDA,0x00
"SPI","result",2025-02-05T00:12:28.956114067+00:00,0.000015083,0x55,0x55
"SPI","disable",2025-02-05T00:12:28.956210150+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.956380400+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.956553233+00:00,0.000015083,0xDC,0x00
"SPI","result",2025-02-05T00:12:28.956660150+00:00,0.000015083,0x70,0x70
"SPI","disable",2025-02-05T00:12:28.956750900+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.957110150+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.957354983+00:00,0.000015083,0x2E,0x00
"SPI","result",2025-02-05T00:12:28.957490817+00:00,0.000015083,0x00,0x98
"SPI","disable",2025-02-05T00:12:28.957635150+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.957941650+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.958169900+00:00,0.000015083,0xAF,0x00
"SPI","result",2025-02-05T00:12:28.958322150+00:00,0.000015083,0x2D,0x00
"SPI","result",2025-02-05T00:12:28.958338150+00:00,0.000015083,0xD4,0x00
"SPI","disable",2025-02-05T00:12:28.958439067+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.958697483+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.958921150+00:00,0.000015083,0xAE,0x00
"SPI","result",2025-02-05T00:12:28.959040233+00:00,0.000015083,0x88,0x98
"SPI","disable",2025-02-05T00:12:28.959138983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.959699817+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.959932567+00:00,0.000015083,0x82,0x00
"SPI","result",2025-02-05T00:12:28.960090650+00:00,0.000015083,0x01,0x00
"SPI","result",2025-02-05T00:12:28.960106650+00:00,0.000015083,0x00,0x1A
"SPI","result",2025-02-05T00:12:28.960122650+00:00,0.000015083,0x80,0x0B
"SPI","result",2025-02-05T00:12:28.960138650+00:00,0.000015083,0x10,0x00
"SPI","result",2025-02-05T00:12:28.960154650+00:00,0.000015083,0x00,0x52
"SPI","disable",2025-02-05T00:12:28.960258567+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.960575733+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.960766233+00:00,0.000015083,0x99,0x00
"SPI","result",2025-02-05T00:12:28.960893067+00:00,0.000015083,0xE0,0x86
"SPI","result",2025-02-05T00:12:28.960909067+00:00,0.000015083,0xE0,0x8A
"SPI","disable",2025-02-05T00:12:28.961012233+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.961214400+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.961379733+00:00,0.000015083,0xB7,0x00
"SPI","result",2025-02-05T00:12:28.961486067+00:00,0.000015083,0xD0,0x10
"SPI","disable",2025-02-05T00:12:28.961584483+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.961789483+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.961973900+00:00,0.000015083,0xAC,0x00
"SPI","result",2025-02-05T00:12:28.962079733+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-02-05T00:12:28.962177983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.962363400+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.962574400+00:00,0.000015083,0xAD,0x00
"SPI","result",2025-02-05T00:12:28.962688983+00:00,0.000015083,0x04,0x03
"SPI","disable",2025-02-05T00:12:28.962810983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.963191400+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.963458067+00:00,0.000015083,0x87,0x00
"SPI","result",2025-02-05T00:12:28.963575900+00:00,0.000015083,0x6C,0xE4
"SPI","disable",2025-02-05T00:12:28.963693733+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.963881733+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.964066817+00:00,0.000015083,0x88,0x00
"SPI","result",2025-02-05T00:12:28.964179567+00:00,0.000015083,0x80,0xC0
"SPI","disable",2025-02-05T00:12:28.964283317+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.964461733+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.964647067+00:00,0.000015083,0x89,0x00
"SPI","result",2025-02-05T00:12:28.964759817+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-02-05T00:12:28.964857983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.965194817+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.965430483+00:00,0.000015083,0x3D,0x00
"SPI","result",2025-02-05T00:12:28.965574150+00:00,0.000015083,0x00,0x02
"SPI","disable",2025-02-05T00:12:28.965729650+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.965962233+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.966169733+00:00,0.000015083,0xBD,0x00
"SPI","result",2025-02-05T00:12:28.966299400+00:00,0.000015083,0x02,0x02
"SPI","disable",2025-02-05T00:12:28.966404650+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.966739483+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.966980233+00:00,0.000015083,0x91,0x00
"SPI","result",2025-02-05T00:12:28.967116400+00:00,0.000015083,0x9F,0x9F
"SPI","disable",2025-02-05T00:12:28.967229983+00:00,0.000000083,,
"SPI","enable",2025-02-05T00:12:28.969346233+00:00,0.000000083,,
"SPI","result",2025-02-05T00:12:28.969789067+00:00,0.000015083,0x91,0x00
