name,type,start_time,duration,"mosi","miso"
"SPI","enable",2025-01-30T23:48:22.752559183+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.752918017+00:00,0.000015083,0x10,0x00
"SPI","result",2025-01-30T23:48:22.753102017+00:00,0.000015083,0x00,0x24
"SPI","disable",2025-01-30T23:48:22.753288267+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.753676350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.753912433+00:00,0.000015083,0x01,0x9F
"SPI","result",2025-01-30T23:48:22.754091767+00:00,0.000015083,0x00,0x09
"SPI","disable",2025-01-30T23:48:22.754259517+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.754587600+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.754793933+00:00,0.000015083,0x81,0x1A
"SPI","result",2025-01-30T23:48:22.754950267+00:00,0.000015083,0x05,0x40
"SPI","disable",2025-01-30T23:48:22.755101767+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.755320350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.755540350+00:00,0.000015083,0x27,0xB0
"SPI","result",2025-01-30T23:48:22.755692350+00:00,0.000015083,0x00,0x7B
"SPI","disable",2025-01-30T23:48:22.755858433+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.756168350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.756391350+00:00,0.000015083,0x27,0x9B
"SPI","result",2025-01-30T23:48:22.756548517+00:00,0.000015083,0x00,0x08
"SPI","disable",2025-01-30T23:48:22.756710267+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.757023517+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.757258517+00:00,0.000015083,0x27,0x86
"SPI","result",2025-01-30T23:48:22.757408433+00:00,0.000015083,0x00,0x8A
"SPI","disable",2025-01-30T23:48:22.757566767+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.757883100+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.758116600+00:00,0.000015083,0xBC,0x40
"SPI","result",2025-01-30T23:48:22.758267683+00:00,0.000015083,0x8F,0x80
"SPI","disable",2025-01-30T23:48:22.758412600+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.758618350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.758820017+00:00,0.000015083,0xEF,0x06
"SPI","result",2025-01-30T23:48:22.758972017+00:00,0.000015083,0x30,0x10
"SPI","disable",2025-01-30T23:48:22.759113850+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.759320600+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.759547183+00:00,0.000015083,0xDA,0x00
"SPI","result",2025-01-30T23:48:22.759702017+00:00,0.000015083,0x55,0x00
"SPI","disable",2025-01-30T23:48:22.759842267+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.760049017+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.760248517+00:00,0.000015083,0xDC,0x00
"SPI","result",2025-01-30T23:48:22.760395850+00:00,0.000015083,0x70,0x00
"SPI","disable",2025-01-30T23:48:22.760536767+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.760965433+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.761233017+00:00,0.000015083,0x2E,0x02
"SPI","result",2025-01-30T23:48:22.761405433+00:00,0.000015083,0x00,0xFF
"SPI","disable",2025-01-30T23:48:22.761571350+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.761883600+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.762109933+00:00,0.000015083,0xAF,0x00
"SPI","result",2025-01-30T23:48:22.762268267+00:00,0.000015083,0x2D,0x05
"SPI","result",2025-01-30T23:48:22.762284267+00:00,0.000015083,0xD4,0x00
"SPI","disable",2025-01-30T23:48:22.762425183+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.762723767+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.762952183+00:00,0.000015083,0xAE,0x00
"SPI","result",2025-01-30T23:48:22.763109017+00:00,0.000015083,0xCF,0xFF
"SPI","disable",2025-01-30T23:48:22.763248267+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.763854933+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.764151600+00:00,0.000015083,0x82,0x00
"SPI","result",2025-01-30T23:48:22.764328767+00:00,0.000015083,0x01,0x00
"SPI","result",2025-01-30T23:48:22.764344767+00:00,0.000015083,0x00,0x00
"SPI","result",2025-01-30T23:48:22.764360767+00:00,0.000015083,0x80,0x03
"SPI","result",2025-01-30T23:48:22.764376767+00:00,0.000015083,0x10,0x98
"SPI","result",2025-01-30T23:48:22.764392767+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.764542767+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.764931100+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.765194517+00:00,0.000015083,0x99,0x00
"SPI","result",2025-01-30T23:48:22.765361433+00:00,0.000015083,0xE0,0x00
"SPI","result",2025-01-30T23:48:22.765377433+00:00,0.000015083,0xE0,0x00
"SPI","disable",2025-01-30T23:48:22.765522433+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.765765850+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.765990517+00:00,0.000015083,0xB7,0x00
"SPI","result",2025-01-30T23:48:22.766135933+00:00,0.000015083,0xD0,0x00
"SPI","disable",2025-01-30T23:48:22.766285350+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.766535433+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.766771100+00:00,0.000015083,0xAC,0x00
"SPI","result",2025-01-30T23:48:22.766916350+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.767066933+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.767320933+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.767523683+00:00,0.000015083,0xAD,0x10
"SPI","result",2025-01-30T23:48:22.767663017+00:00,0.000015083,0x04,0x40
"SPI","disable",2025-01-30T23:48:22.767805350+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.768183517+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.768454017+00:00,0.000015083,0x87,0x00
"SPI","result",2025-01-30T23:48:22.768606933+00:00,0.000015167,0x6C,0x00
"SPI","disable",2025-01-30T23:48:22.768771933+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.769057433+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.769290850+00:00,0.000015083,0x88,0x00
"SPI","result",2025-01-30T23:48:22.769448767+00:00,0.000015083,0x80,0x0F
"SPI","disable",2025-01-30T23:48:22.769595683+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.769858267+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.770066600+00:00,0.000015083,0x89,0x02
"SPI","result",2025-01-30T23:48:22.770210433+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.770353600+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.770729350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.771017517+00:00,0.000015083,0x3D,0x00
"SPI","result",2025-01-30T23:48:22.771174267+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.771368350+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.771655767+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.771868100+00:00,0.000015083,0xBD,0x00
"SPI","result",2025-01-30T23:48:22.772005683+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.772149850+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.772535350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.772797100+00:00,0.000015083,0x91,0x00
"SPI","result",2025-01-30T23:48:22.772952850+00:00,0.000015083,0x9F,0x00
"SPI","disable",2025-01-30T23:48:22.773122517+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.774860850+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.775282183+00:00,0.000015083,0x91,0x00
"SPI","result",2025-01-30T23:48:22.775425600+00:00,0.000015083,0x5F,0x00
"SPI","disable",2025-01-30T23:48:22.775593433+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.775958850+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.776196600+00:00,0.000015083,0x87,0x00
"SPI","result",2025-01-30T23:48:22.776336100+00:00,0.000015083,0xE4,0x00
"SPI","disable",2025-01-30T23:48:22.776503433+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.776775350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.776986933+00:00,0.000015083,0x88,0x00
"SPI","result",2025-01-30T23:48:22.777130933+00:00,0.000015083,0xC0,0x00
"SPI","disable",2025-01-30T23:48:22.777276017+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.777526183+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.777713517+00:00,0.000015083,0x89,0x00
"SPI","result",2025-01-30T23:48:22.777842850+00:00,0.000015083,0x00,0x00
"SPI","disable",2025-01-30T23:48:22.777985767+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.779133267+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.779755017+00:00,0.000015083,0x80,0x00
"SPI","result",2025-01-30T23:48:22.780143600+00:00,0.000015083,0x10,0x01
"SPI","result",2025-01-30T23:48:22.780468767+00:00,0.000015083,0xFF,0x00
"SPI","result",2025-01-30T23:48:22.780732517+00:00,0.000015083,0xFF,0x00
"SPI","result",2025-01-30T23:48:22.781001100+00:00,0.000015083,0x00,0x01
"SPI","result",2025-01-30T23:48:22.781236850+00:00,0.000015083,0x00,0x88
"SPI","result",2025-01-30T23:48:22.781553017+00:00,0.000015083,0xCD,0x08
"SPI","result",2025-01-30T23:48:22.781815433+00:00,0.000015083,0xCC,0x00
"SPI","result",2025-01-30T23:48:22.782100350+00:00,0.000015083,0x44,0x00
"SPI","result",2025-01-30T23:48:22.782350183+00:00,0.000015083,0x41,0x01
"SPI","result",2025-01-30T23:48:22.782636433+00:00,0.000015083,0x85,0x00
"SPI","result",2025-01-30T23:48:22.782888267+00:00,0.000015083,0xEB,0x1B
"SPI","result",2025-01-30T23:48:22.783169017+00:00,0.000015083,0x91,0x09
"SPI","result",2025-01-30T23:48:22.783430433+00:00,0.000015083,0x40,0x55
"SPI","result",2025-01-30T23:48:22.783715183+00:00,0.000015083,0x9A,0x80
"SPI","result",2025-01-30T23:48:22.783965017+00:00,0.000015083,0x99,0x70
"SPI","result",2025-01-30T23:48:22.784251683+00:00,0.000015083,0xF9,0x33
"SPI","result",2025-01-30T23:48:22.784539600+00:00,0.000015083,0x40,0xCA
"SPI","disable",2025-01-30T23:48:22.784871850+00:00,0.000000083,,
"SPI","enable",2025-01-30T23:48:22.785120350+00:00,0.000000083,,
"SPI","result",2025-01-30T23:48:22.785363683+00:00,0.000015083,0xA5,0x08
"SPI","result",2025-01-30T23:48:22.785524433+00:00,0.000015083,0x00,0x00
